arm,reward
1,4.11
1,7.0
5,4.5
0,0.0
3,5.67
0,0.0
2,4.44
1,5.15
4,4.51
2,4.48
3,6.05
1,6.44
5,5.38
0,4.46
2,4.11
2,4.73
2,6.26
2,5.73
4,5.11
0,3.54
4,3.69
3,5.22
2,6.04
1,4.75
1,3.86
0,1.21
1,6.37
0,0.36
0,6.07
5,4.27
2,4.27
2,4.07
5,4.29
5,6.84
4,6.45
3,6.0
0,0.38
3,3.77
3,4.92
2,4.07
3,5.66
2,4.75
3,6.07
5,3.87
5,4.25
4,5.66
0,2.68
1,3.72
4,6.2
4,3.4
0,7.0
5,4.75
5,4.52
2,6.14
0,6.31
2,5.62
0,3.94
3,6.08
1,5.69
4,4.64
4,5.98
5,4.19
1,6.07
0,3.68
4,2.97
1,6.5
1,5.37
5,4.84
3,3.7
3,3.77
0,2.15
4,4.14
4,4.54
4,4.8
1,4.31
3,4.44
0,0.0
1,3.18
2,3.39
3,5.15
0,5.77
2,5.02
0,2.58
5,3.91
1,6.46
4,4.21
2,4.97
4,5.63
3,5.11
1,5.31
0,7.0
3,6.54
1,6.9
3,3.29
0,4.14
5,5.93
3,6.86
5,5.68
3,4.76
3,5.45
4,3.44
1,4.05
1,5.97
3,3.75
1,5.77
2,3.2
4,3.81
5,2.3
3,3.9
3,3.85
0,2.21
5,7.0
4,4.77
0,0.82
4,4.58
1,6.35
2,4.94
2,3.62
0,3.16
4,3.23
0,7.0
1,6.34
5,5.27
3,4.75
3,3.22
4,5.03
3,3.7
2,5.83
5,3.93
2,4.49
0,0.43
4,4.53
1,5.86
3,3.39
1,5.68
3,5.11
3,3.25
1,5.98
1,5.87
3,4.67
2,3.64
3,3.92
2,5.77
4,6.55
3,5.34
4,3.64
0,6.2
3,3.96
3,5.76
3,6.1
4,7.0
0,1.03
2,4.01
5,6.32
4,4.05
5,5.72
4,4.15
4,4.66
3,5.3
3,5.59
1,6.54
3,5.35
1,4.41
1,5.45
3,4.96
2,3.82
1,5.21
0,2.43
0,4.83
2,4.01
2,5.23
1,4.78
1,3.83
5,3.11
3,3.59
2,6.22
2,4.75
4,3.76
2,4.73
0,1.96
1,4.29
1,5.77
1,4.21
2,4.04
5,3.28
5,4.96
1,5.25
4,3.95
1,4.96
1,4.62
3,4.16
3,5.28
4,6.77
4,2.84
4,4.47
5,5.38
0,6.06
2,5.07
1,6.43
5,5.21
0,0.74
0,1.75
2,4.21
2,4.33
3,6.86
5,6.14
0,0.0
4,6.61
2,4.89
2,5.44
4,5.47
0,4.32
2,5.79
0,7.0
1,5.07
5,3.24
2,6.27
5,2.8
3,6.13
2,4.48
2,6.08
5,4.29
2,5.39
5,5.02
2,4.42
3,5.39
1,6.34
4,4.6
4,7.0
5,7.0
3,3.08
3,7.0
4,4.65
0,7.0
2,4.38
4,3.28
5,5.37
3,4.43
2,5.38
5,6.13
2,3.88
4,3.87
1,4.85
3,5.84
3,4.01
2,5.1
1,3.76
3,6.86
1,4.66
4,3.88
1,4.17
0,5.69
3,4.89
5,2.4
4,4.5
3,5.71
2,5.0
2,4.39
1,4.82
1,5.0
4,4.35
4,4.09
5,2.87
2,3.84
3,3.98
1,4.82
2,5.01
2,4.87
5,4.11
3,3.94
1,2.89
4,3.63
3,3.9
1,5.86
5,6.8
0,2.68
4,2.92
5,3.88
5,5.44
4,4.12
3,4.3
0,5.61
0,5.19
2,4.98
2,5.11
4,5.68
4,4.36
2,5.39
2,4.0
3,5.08
4,4.65
4,4.46
4,5.03
2,6.37
0,0.72
4,5.61
3,4.81
3,4.14
4,4.28
4,4.98
3,1.76
3,5.38
0,3.84
2,6.36
0,6.86
2,5.34
4,3.49
4,4.77
2,4.45
5,4.28
2,3.43
4,3.81
1,4.16
4,5.71
5,3.47
5,5.87
5,5.04
0,3.93
1,2.85
1,4.81
3,4.46
5,6.31
3,6.62
3,5.34
5,6.05
2,5.37
3,4.37
1,5.16
3,5.44
3,5.41
2,5.12
1,6.55
5,1.15
1,7.0
1,4.05
4,2.37
4,4.41
1,4.11
2,4.65
2,5.54
0,7.0
2,5.66
5,0.2
1,5.39
2,4.92
2,4.31
3,4.26
3,5.26
5,4.44
2,3.59
2,4.7
3,1.79
3,6.76
0,1.96
5,3.21
2,4.45
0,4.36
0,5.07
4,6.01
3,6.71
2,5.99
0,5.14
3,6.21
5,3.14
3,4.85
2,4.03
2,3.92
4,4.01
2,5.36
4,5.25
4,4.23
0,0.47
1,3.02
4,5.14
1,4.91
0,2.65
1,4.57
1,4.71
1,7.0
1,3.43
5,4.68
0,7.0
4,4.23
1,5.26
5,2.97
0,3.55
5,6.31
2,4.56
2,6.19
2,4.18
2,6.28
0,2.35
4,4.83
4,3.56
4,5.9
0,7.0
3,5.46
2,5.77
0,1.53
2,4.91
1,4.6
0,0.94
5,7.0
4,5.04
5,5.29
4,4.75
4,5.15
1,4.68
1,4.94
2,5.9
1,3.63
3,6.25
5,2.63
3,4.3
2,4.84
0,2.04
0,2.19
1,7.0
4,1.8
2,2.68
1,4.57
5,6.13
5,6.68
2,4.7
4,5.05
0,4.01
2,6.04
4,5.26
4,6.36
5,7.0
5,6.68
2,4.67
1,5.31
2,4.74
0,2.75
5,6.08
2,5.33
3,6.94
1,3.96
4,4.13
5,5.39
1,6.33
2,4.33
3,5.32
0,3.17
2,5.35
1,4.84
3,4.18
5,5.89
0,3.39
5,5.19
3,6.3
0,4.81
1,5.82
1,7.0
2,4.76
5,6.11
1,5.12
2,4.72
0,3.3
1,5.25
0,3.62
5,2.49
4,4.13
2,4.63
4,3.77
1,5.13
0,0.0
3,4.71
5,2.09
4,5.48
2,3.94
5,3.57
2,5.39
5,1.89
3,3.95
3,6.11
0,4.55
0,0.97
1,3.84
5,2.94
5,3.53
1,6.46
3,6.2
2,4.6
2,3.95
0,1.86
1,4.91
0,5.27
0,5.42
0,5.7
1,5.78
1,2.91
1,4.58
1,5.27
5,3.55
5,7.0
5,5.09
5,5.2
5,3.18
2,5.11
5,3.79
5,2.56
0,1.58
1,6.64
4,3.38
3,3.86
5,6.22
3,6.98
1,4.63
1,6.49
4,3.77
3,4.74
2,4.59
3,5.6
3,4.9
2,5.74
5,3.26
4,6.3
2,4.97
4,5.7
3,5.51
1,5.47
4,3.55
5,5.01
0,6.83
4,5.42
0,7.0
1,3.87
2,6.01
5,7.0
2,4.9
3,5.0
0,3.53
5,5.61
5,4.48
5,3.84
1,3.55
0,4.56
5,5.7
5,5.61
4,5.37
5,3.17
1,6.32
0,3.15
5,6.67
1,4.81
2,4.6
5,4.19
4,3.18
5,3.43
5,4.88
4,6.36
1,5.09
5,3.96
0,5.43
2,5.66
5,6.22
4,5.14
0,3.15
1,6.14
0,7.0
3,4.35
4,6.52
3,4.83
2,3.13
4,6.85
4,5.58
1,3.89
5,3.04
5,4.76
0,2.12
2,6.64
3,5.18
1,3.12
5,6.62
5,4.18
3,4.32
2,5.06
0,6.53
1,3.51
4,3.72
0,7.0
1,6.05
4,2.81
4,3.57
0,2.59
3,6.04
3,7.0
5,5.81
4,2.95
2,4.37
3,4.99
0,4.29
2,5.54
2,6.07
5,4.89
4,5.98
1,7.0
1,1.29
2,5.05
4,6.72
1,4.46
3,5.41
1,6.01
3,6.68
3,3.4
5,4.13
5,3.53
1,4.92
3,4.79
1,3.35
5,5.37
4,2.25
0,0.82
1,4.11
4,5.1
2,3.77
4,3.74
0,5.25
3,4.75
2,5.86
3,3.7
5,4.67
3,3.24
1,4.76
4,3.66
3,3.06
5,3.91
5,4.29
0,4.95
2,5.58
0,2.83
2,5.3
2,3.81
2,6.2
1,4.38
2,4.77
1,4.98
1,5.11
4,2.97
2,4.82
4,4.87
5,5.65
3,4.85
5,3.67
1,2.81
3,5.91
2,2.88
3,5.72
3,3.96
5,4.39
0,4.04
2,4.69
4,6.74
4,6.83
2,5.48
4,4.47
5,6.05
2,3.32
1,7.0
2,4.95
0,0.0
5,3.95
1,7.0
5,3.57
4,6.08
4,4.4
1,2.69
4,5.2
2,5.57
3,4.56
0,0.0
5,5.9
5,3.74
0,2.72
3,4.25
0,3.02
5,3.74
2,4.72
0,2.64
1,3.75
1,6.45
0,3.88
1,3.3
2,4.53
5,5.56
4,4.66
1,3.11
4,4.68
4,2.24
4,4.09
2,3.81
4,4.86
4,6.53
5,2.68
5,7.0
3,4.32
1,4.12
0,4.6
3,4.6
0,0.22
0,4.16
1,5.21
1,3.62
4,5.3
5,4.0
5,6.23
4,2.84
4,5.44
0,5.03
2,4.11
1,5.34
0,4.02
3,4.56
0,3.3
5,4.82
1,4.89
5,2.95
1,3.06
2,5.73
5,3.1
5,5.09
1,4.08
0,6.15
1,4.46
0,6.66
4,6.72
0,3.06
0,7.0
2,4.95
0,2.22
5,7.0
2,5.07
4,3.51
3,6.56
3,5.37
1,5.09
2,4.83
2,4.26
0,2.55
3,4.81
5,5.04
1,5.76
5,4.77
3,5.28
5,4.99
0,5.57
2,3.87
4,4.82
4,4.12
0,3.23
3,6.61
1,7.0
5,5.29
3,4.15
4,3.8
0,4.86
1,5.8
0,4.39
5,2.41
5,5.07
2,6.28
2,4.11
0,4.29
2,4.72
1,6.45
4,3.49
4,3.76
4,3.92
2,4.5
3,4.53
2,3.41
4,3.25
5,5.09
5,4.97
4,4.58
3,3.52
1,4.66
2,4.03
0,5.26
5,3.89
0,1.71
1,3.91
5,4.5
3,4.93
4,4.8
3,5.26
0,3.15
1,4.82
0,2.41
4,3.18
1,5.6
2,6.1
3,4.53
0,1.48
0,7.0
0,0.45
0,1.09
3,5.69
1,4.72
1,2.9
4,2.94
2,5.22
2,4.32
2,3.75
0,1.64
3,3.56
1,3.91
0,6.91
0,1.69
1,4.86
5,6.15
3,6.44
0,7.0
3,4.2
1,4.68
2,4.88
4,6.01
2,4.5
3,4.05
1,3.63
4,6.36
5,4.72
5,4.4
5,3.83
3,3.91
5,6.73
2,6.17
2,4.76
0,1.41
3,4.88
3,7.0
4,6.54
1,2.85
1,3.76
0,0.0
2,4.89
3,5.06
5,3.82
0,4.81
5,4.97
1,4.79
1,5.57
5,3.29
0,5.32
5,3.16
0,0.09
4,4.08
0,2.05
1,2.77
5,3.2
4,6.1
4,4.51
4,3.29
2,4.31
3,4.89
5,5.47
5,3.58
2,5.55
4,5.02
4,3.94
2,3.5
1,4.6
5,2.5
0,3.26
0,2.89
4,5.88
1,4.08
3,6.03
4,4.88
1,4.9
2,4.55
3,5.54
2,4.49
4,3.47
0,5.2
4,5.26
2,3.03
2,4.83
3,5.68
3,4.94
3,6.56
0,3.47
4,5.52
1,3.53
1,4.6
2,4.16
0,2.02
0,3.23
5,5.12
4,5.5
5,6.88
2,5.28
4,5.57
3,5.68
4,4.56
0,1.02
5,4.44
2,3.78
2,4.7
3,5.54
5,2.95
1,3.12
2,5.02
0,0.04
2,3.34
1,3.3
3,5.73
5,6.86
0,3.98
4,6.19
4,4.71
4,4.52
2,2.23
4,6.17
0,7.0
4,4.6
4,3.98
2,3.57
1,5.27
4,4.62
1,5.32
1,5.13
5,5.04
5,4.9
4,5.6
0,4.93
1,4.93
4,3.78
4,6.04
5,2.93
5,4.38
2,5.44
3,4.05
5,4.59
3,4.97
3,5.42
2,4.53
3,4.4
3,5.23
3,3.49
2,4.93
5,4.63
4,2.78
3,3.94
1,3.31
1,4.56
5,5.32
2,4.31
3,2.91
4,3.38
3,4.57
5,5.84
0,5.11
2,4.24
4,4.0
3,4.95
0,0.66
5,4.89
0,1.24
1,7.0
5,2.89
0,7.0
1,6.14
5,4.47
4,4.72
3,6.18
0,3.19
4,3.52
0,6.48
4,2.95
4,3.57
5,1.13
4,2.94
4,6.45
4,5.31
5,1.62
5,4.28
3,5.78
3,4.96
3,4.05
2,4.97
1,5.35
2,4.91
2,5.2
1,4.09
2,4.09
0,7.0
4,4.21
2,6.53
5,3.84
3,6.68
1,4.0
1,4.47
4,3.85
3,6.44
1,6.44
2,3.6
4,3.03
3,5.06
3,3.83
3,4.59
0,3.84
3,5.32
3,5.65
5,6.13
1,6.41
0,4.42
5,3.43
5,3.88
2,3.96
2,4.68
4,4.17
3,4.07
3,3.97
3,4.41
4,5.45
3,4.58
5,1.62
1,5.44
3,2.55
0,3.66
0,3.81
4,2.67
4,6.01
0,5.22
3,5.02
5,2.82
2,3.86
4,4.46
5,6.03
4,4.81
3,5.99
3,3.56
0,3.31
3,7.0
4,4.13
4,6.2
3,5.46
4,4.93
1,5.65
1,3.63
4,3.21
0,7.0
1,5.88
4,4.51
1,3.27
5,6.5
3,5.77
4,4.37
3,6.01
0,6.41
0,5.97
0,2.73
4,3.17
2,3.89
5,5.01
3,4.77
2,3.89
5,1.67
0,1.2
2,4.36
1,5.08
1,5.81
3,5.11
1,5.1
2,6.08
1,4.95
4,5.09
2,4.87
4,3.8
0,7.0
1,3.71
4,3.05
1,4.83
3,4.78
3,3.76
3,3.95
0,2.92
2,5.65
3,5.46
4,5.07
3,5.15
0,4.24
2,3.26
3,5.35
0,3.06
1,4.22
2,5.72
5,4.4
3,3.92
3,6.15
2,3.79
2,4.75
4,5.75
0,4.45
4,3.71
4,4.58
2,4.49
0,1.62
1,5.82
0,4.86
1,5.51
2,4.94
0,7.0
1,6.55
0,5.69
5,5.39
0,2.47
4,4.58
2,5.39
5,3.28
2,5.17
4,3.98
1,3.67
2,3.17
2,5.56
5,5.29
0,0.0
1,7.0
4,5.92
2,4.05
3,5.06
5,2.92
3,5.88
5,3.3
2,6.66
2,5.22
0,5.27
2,4.05
4,4.52
1,3.97
1,4.18
2,4.76
0,7.0
4,4.79
1,3.2
1,4.86
5,3.26
3,4.08
2,5.25
3,4.59
3,5.16
1,3.97
3,4.48
4,5.5
5,2.61
4,4.59
2,6.01
1,3.26
5,7.0
2,5.03
5,3.63
2,4.24
4,2.35
0,3.48
1,5.67
4,4.65
1,4.8
2,3.97
4,5.26
3,5.75
3,6.86
4,4.93
2,5.15
3,4.54
1,4.72
5,2.67
2,5.95
5,5.17
3,4.26
2,4.89
4,5.47
0,6.29
4,4.15
4,4.22
2,4.08
5,3.03
4,3.81
3,4.88
3,6.35
4,4.36
2,4.78
5,1.98
1,4.71
5,6.07
5,3.56
1,4.81
4,6.64
1,4.65
3,3.01
2,3.65
2,4.98
5,4.78
2,5.79
2,4.92
0,3.56
2,4.1
2,6.54
0,3.76
2,6.4
5,5.34
0,3.76
5,1.75
2,5.13
4,5.21
5,4.69
1,5.05
3,4.17
1,4.35
3,5.32
3,5.65
2,5.87
3,3.99
0,5.53
0,2.98
2,4.79
3,2.87
4,5.94
0,1.84
5,5.02
5,4.4
3,6.93
0,3.62
0,5.03
0,5.69
4,4.15
4,4.36
4,3.95
4,4.13
3,4.79
5,3.07
3,4.45
0,0.77
1,6.23
5,7.0
1,3.74
5,2.74
2,3.56
4,2.32
5,0.0
5,1.99
1,3.65
1,6.39
4,4.68
1,6.18
3,6.1
3,5.1
0,1.91
1,4.61
2,4.72
3,5.25
5,2.43
2,4.12
5,5.33
1,2.88
5,3.07
4,5.94
3,6.2
0,4.1
3,6.24
5,4.98
0,1.99
3,4.2
4,3.66
2,4.09
1,3.96
3,2.99
1,6.8
5,4.84
5,6.33
0,0.92
5,4.49
3,6.21
1,4.59
4,5.03
0,5.01
3,4.05
5,3.75
2,4.74
4,5.59
0,5.06
2,2.65
5,6.62
2,4.13
0,0.0
5,3.41
1,5.05
3,4.33
1,3.54
4,4.28
4,3.3
3,3.7
1,6.7
2,3.48
0,5.52
4,4.33
3,4.09
5,6.97
3,5.52
0,0.83
1,5.88
2,5.01
4,4.42
2,2.74
2,5.23
3,4.07
5,2.12
5,4.38
3,4.26
0,5.07
4,3.54
5,3.79
4,4.08
4,4.68
3,4.91
1,5.09
3,6.35
3,6.93
2,4.72
3,6.95
2,4.88
1,4.75
0,6.33
3,3.31
5,4.9
5,5.96
2,5.43
4,5.42
4,4.53
4,5.69
3,5.44
4,4.08
2,5.08
2,2.8
2,3.24
5,5.15
3,6.72
2,4.8
1,5.62
3,5.73
5,7.0
3,5.42
1,5.16
1,3.88
3,4.67
1,2.76
1,4.62
4,4.27
0,4.5
2,5.2
5,5.95
5,3.92
5,4.1
5,3.21
4,4.26
4,7.0
0,6.58
3,3.62
3,6.61
3,4.99
1,4.14
3,5.94
1,4.79
5,4.98
0,3.37
5,4.09
3,3.48
0,5.25
5,5.75
4,3.07
2,3.72
3,5.06
5,4.16
2,5.92
3,5.79
0,2.12
4,5.42
5,0.72
3,4.58
0,1.1
2,5.44
5,3.97
1,5.46
1,6.32
4,5.22
3,4.68
0,2.64
1,2.72
5,4.79
3,4.86
1,7.0
5,2.46
3,5.72
2,4.79
1,5.29
1,3.86
4,4.57
0,7.0
0,3.41
5,3.59
1,4.35
2,4.1
4,2.18
5,5.1
2,6.02
0,6.24
1,4.83
4,3.32
4,5.39
1,4.89
0,7.0
5,3.98
2,5.31
0,5.33
2,4.97
4,5.11
5,3.3
0,6.59
2,4.52
5,4.18
0,2.39
1,4.8
2,3.99
0,4.44
0,3.66
2,3.74
0,2.02
0,2.69
1,3.88
4,3.43
1,2.34
0,5.75
5,4.37
0,4.66
3,3.97
2,3.83
5,5.42
5,1.75
4,5.72
1,3.99
2,5.25
2,4.74
3,4.82
4,4.2
5,4.42
1,4.7
5,3.26
5,5.63
1,4.51
1,5.18
2,5.05
0,3.37
3,3.89
2,5.28
0,0.01
0,5.13
0,5.1
1,3.37
1,4.45
3,6.23
5,2.42
3,5.6
2,3.89
5,0.9
1,3.88
4,2.99
1,4.05
5,6.14
3,5.34
1,5.01
5,2.62
0,4.1
4,5.48
0,2.68
3,5.94
0,1.99
2,4.89
1,5.66
0,5.48
3,5.63
2,6.08
4,5.65
0,6.55
0,3.36
4,5.0
2,5.77
0,2.49
4,5.87
3,4.96
0,4.76
0,3.08
4,6.32
1,7.0
5,3.05
3,5.61
5,4.83
2,6.56
2,5.3
4,4.49
5,7.0
2,4.99
3,6.82
3,3.12
3,4.4
2,2.95
2,4.55
1,4.35
2,6.18
5,4.96
5,3.88
2,5.06
3,3.85
3,5.12
3,6.19
2,3.64
3,4.27
0,2.35
5,5.2
0,4.93
1,5.35
5,4.0
2,5.28
0,6.33
2,5.2
4,4.28
1,2.96
3,3.43
4,5.46
5,2.79
3,3.92
5,5.63
0,5.02
4,5.15
4,5.0
4,5.43
4,4.22
0,2.53
5,7.0
2,5.51
3,6.27
3,5.1
4,4.12
4,3.47
3,5.29
5,5.15
3,5.81
4,4.68
2,5.01
3,6.36
4,4.75
0,4.13
2,5.65
5,4.03
1,3.9
5,3.51
1,4.39
3,6.13
3,4.45
2,5.54
5,6.67
1,6.17
2,6.03
0,4.89
4,3.1
2,4.08
5,4.64
2,5.38
4,6.44
5,2.24
4,3.93
1,3.64
2,3.39
3,3.74
4,4.28
4,2.93
1,5.67
0,7.0
3,5.88
2,5.24
3,3.87
3,6.89
1,3.63
1,6.15
0,2.32
5,4.69
4,3.01
5,4.62
2,3.83
4,4.99
0,7.0
5,4.35
1,4.38
1,5.19
2,4.96
5,2.92
4,4.04
0,5.5
3,4.76
3,4.86
5,4.85
1,5.1
0,3.71
4,5.9
3,4.46
3,6.24
1,6.08
2,5.63
2,4.92
2,5.25
3,5.58
1,4.41
1,5.79
5,1.34
0,5.29
5,3.7
2,5.04
3,2.64
2,3.67
2,5.3
3,4.68
0,7.0
3,5.91
4,5.61
1,4.31
5,2.8
2,4.5
2,5.57
0,7.0
3,4.46
5,4.74
3,6.35
1,3.16
1,5.59
3,6.11
4,4.33
2,5.01
1,4.24
4,4.09
0,0.0
2,4.09
1,5.34
4,6.18
5,3.75
4,4.63
0,4.48
0,2.79
5,5.92
4,3.4
5,5.67
5,7.0
1,3.38
1,5.77
1,5.01
4,6.85
2,4.43
1,5.06
4,2.84
2,4.37
4,3.76
0,0.77
2,5.44
5,3.6
5,5.28
1,4.63
3,5.25
1,4.58
5,4.05
2,4.72
4,4.24
5,3.84
4,4.77
5,5.01
1,4.8
1,4.56
4,3.67
2,4.81
5,5.56
3,5.34
1,5.31
0,1.68
2,3.28
5,3.2
2,4.56
0,5.77
3,2.48
5,4.6
1,4.6
2,5.96
4,6.28
0,6.85
2,4.91
3,5.86
3,6.29
4,5.61
0,6.48
5,2.51
2,6.4
0,2.68
4,5.07
5,1.4
2,3.86
0,5.47
5,4.36
0,3.35
0,6.1
4,4.22
3,4.55
2,3.39
4,2.87
3,4.34
3,5.88
3,5.78
4,4.2
2,5.1
5,5.04
3,3.89
4,3.64
3,5.23
4,5.47
5,5.74
2,4.88
3,5.06
3,5.14
3,6.43
0,1.03
1,4.64
4,4.88
2,5.25
4,2.84
3,5.82
4,5.72
2,4.05
3,5.26
0,5.8
0,2.25
0,0.0
1,3.63
0,0.59
2,4.94
1,6.47
0,5.57
1,5.04
4,4.1
0,4.37
3,3.88
4,5.36
5,6.55
1,4.26
5,4.33
0,4.25
5,4.39
3,4.84
1,6.38
4,4.55
0,6.21
4,5.97
0,0.0
5,4.55
0,4.58
3,5.15
5,1.48
1,5.96
4,4.06
3,4.43
4,4.4
1,3.92
1,5.9
5,1.57
2,4.3
2,4.38
2,6.82
1,7.0
4,4.1
3,4.51
4,3.39
2,5.17
1,6.21
5,2.12
4,3.16
0,5.55
4,4.3
5,6.11
2,5.04
4,3.96
3,3.19
4,4.07
1,2.93
5,3.97
5,2.87
1,3.9
4,5.46
4,3.75
3,4.09
2,4.52
1,3.55
5,2.22
3,4.14
5,2.4
2,5.1
4,4.65
1,6.24
0,1.8
0,1.09
1,3.19
1,5.68
4,4.77
1,4.92
0,6.06
2,3.43
1,6.86
4,4.43
5,6.42
4,4.99
5,4.71
0,0.37
4,5.82
5,3.59
4,4.56
0,4.27
3,4.59
4,4.19
2,4.8
3,5.79
3,5.43
0,4.94
0,3.1
5,5.52
5,5.53
0,4.24
4,2.62
2,4.74
2,5.85
5,3.01
0,4.96
1,5.25
4,4.61
3,4.55
1,4.41
1,5.41
1,4.49
0,4.5
4,3.19
4,4.35
1,4.58
4,4.85
2,6.21
0,3.45
1,4.48
5,5.43
2,5.79
2,4.49
3,5.4
2,5.03
5,1.79
0,3.46
1,1.66
0,6.8
2,5.25
5,4.12
0,0.31
2,5.78
2,4.82
2,4.47
3,6.63
4,5.36
1,5.57
5,3.28
1,1.96
5,7.0
4,6.41
3,5.87
2,4.43
0,0.23
4,5.0
0,0.44
2,5.98
5,3.84
1,5.32
5,6.06
5,4.24
1,3.71
3,5.58
1,3.16
5,3.67
3,4.75
4,3.25
4,3.72
1,3.07
5,7.0
2,6.12
0,3.91
2,5.01
5,2.21
5,3.44
1,6.11
0,7.0
0,7.0
2,5.3
3,5.38
2,4.2
3,5.4
1,5.77
3,3.72
4,3.39
0,5.21
3,3.99
1,5.64
4,5.24
3,5.16
2,4.7
0,3.36
1,6.41
3,6.03
3,5.45
5,5.02
0,0.07
5,3.45
4,6.02
1,6.22
5,3.28
3,5.06
4,5.03
0,3.75
3,5.43
1,3.44
0,5.0
0,6.56
1,5.25
0,4.05
5,2.98
0,5.63
2,3.24
0,7.0
0,4.08
2,5.34
4,4.27
4,4.74
4,5.33
0,4.28
4,5.0
4,6.75
1,6.49
2,5.13
2,4.46
4,3.78
5,7.0
4,4.72
4,2.99
4,5.35
2,4.87
4,2.61
0,6.56
0,0.0
4,5.28
5,4.35
3,4.65
1,4.51
2,5.34
3,4.6
4,5.58
4,6.09
2,4.98
0,6.33
1,3.28
0,6.49
4,6.94
5,3.73
3,5.06
0,5.08
5,4.2
5,5.24
1,6.81
2,5.82
4,3.09
2,3.82
1,3.33
5,5.0
4,5.83
5,2.98
5,4.24
0,3.81
0,2.37
0,7.0
5,3.24
1,5.76
5,4.02
5,2.03
0,7.0
4,4.74
4,3.46
3,4.97
2,4.84
1,4.86
3,3.79
5,5.51
1,4.43
4,5.07
2,2.83
4,6.81
5,1.82
3,4.83
3,4.7
2,4.47
2,6.69
3,6.59
3,5.84
0,6.56
3,5.93
0,3.52
1,5.34
3,4.44
0,0.82
3,5.4
4,4.01
3,5.1
3,4.21
4,4.4
5,5.87
0,2.83
5,4.57
4,4.54
5,4.69
4,4.59
2,6.17
3,3.72
4,5.63
1,3.01
3,3.64
5,6.3
4,4.89
0,0.0
1,7.0
1,5.22
0,7.0
0,3.92
4,4.03
3,3.79
2,3.68
2,4.81
5,7.0
2,4.85
1,6.03
3,4.16
0,1.62
3,5.6
1,4.86
4,4.71
1,4.25
0,3.33
2,5.41
3,2.76
1,5.16
1,4.83
5,4.15
0,6.21
