rating,type
4.78,historical
4.85,historical
2.6,historical
2.31,historical
4.17,historical
4.55,historical
4.99,historical
0.61,historical
5.0,historical
0.59,historical
0.0,historical
5.0,historical
3.95,historical
3.05,historical
2.5,historical
2.94,historical
3.8,historical
2.4,historical
5.0,historical
3.07,historical
3.51,historical
1.94,historical
2.92,historical
5.0,historical
5.0,historical
2.68,historical
4.5,historical
3.81,historical
1.52,historical
4.68,historical
4.48,historical
3.81,historical
3.68,historical
2.76,historical
1.6,historical
3.78,historical
1.46,historical
2.76,historical
5.0,historical
3.27,historical
3.17,historical
2.53,historical
3.1,historical
5.0,historical
5.0,historical
2.81,historical
5.0,historical
4.49,historical
2.44,historical
3.13,historical
4.06,historical
3.61,historical
5.0,historical
2.07,historical
4.62,historical
2.61,historical
5.0,historical
2.52,historical
3.7,historical
1.13,historical
3.08,historical
3.24,historical
3.11,historical
4.92,historical
0.18,historical
3.58,historical
4.66,historical
1.12,historical
3.99,historical
2.09,historical
3.32,historical
2.71,historical
4.49,historical
5.0,historical
3.15,historical
3.95,historical
4.82,historical
5.0,historical
1.21,historical
4.14,historical
1.33,historical
5.0,historical
3.27,historical
4.77,historical
5.0,historical
3.52,historical
4.81,historical
3.02,historical
5.0,historical
2.66,historical
5.0,historical
3.07,historical
3.57,historical
2.8,historical
2.43,historical
2.81,historical
3.23,historical
3.91,historical
5.0,historical
3.85,historical
2.86,historical
3.46,historical
4.98,historical
2.73,historical
5.0,historical
5.0,historical
1.42,historical
1.47,historical
1.72,historical
2.37,historical
3.31,historical
3.22,historical
5.0,historical
3.24,historical
1.26,historical
3.75,historical
2.16,historical
1.98,historical
1.34,historical
5.0,historical
4.62,historical
5.0,historical
4.5,historical
3.21,historical
2.7,historical
0.63,historical
5.0,historical
5.0,historical
2.74,historical
3.6,historical
3.56,historical
5.0,historical
2.23,historical
4.81,historical
5.0,historical
4.28,historical
2.68,historical
3.38,historical
1.98,historical
5.0,historical
5.0,historical
3.89,historical
5.0,historical
4.03,historical
4.77,historical
0.0,historical
2.69,historical
5.0,historical
1.73,historical
0.85,historical
0.69,historical
1.31,historical
4.32,historical
2.85,historical
3.4,historical
5.0,historical
0.6,historical
0.0,historical
5.0,historical
5.0,historical
2.91,historical
3.02,historical
2.41,historical
2.23,historical
3.59,historical
3.21,historical
5.0,historical
4.25,historical
4.13,historical
2.32,historical
2.89,historical
3.19,historical
2.06,historical
5.0,historical
2.0,historical
1.61,historical
5.0,historical
2.95,historical
2.0,historical
5.0,historical
4.44,historical
4.34,historical
0.0,historical
3.62,historical
5.0,historical
4.64,historical
2.83,historical
4.5,historical
3.1,historical
5.0,historical
5.0,historical
3.04,historical
1.01,historical
0.52,historical
4.6,historical
3.97,historical
4.46,historical
1.66,historical
1.38,historical
2.85,historical
4.6,historical
4.14,historical
5.0,historical
3.82,historical
3.38,historical
2.82,historical
2.54,historical
3.42,historical
5.0,historical
0.95,historical
3.13,historical
4.02,historical
2.84,historical
4.48,historical
4.9,historical
5.0,historical
4.01,historical
5.0,historical
3.36,historical
4.21,historical
2.65,historical
2.17,historical
1.36,historical
1.49,historical
4.14,historical
2.96,historical
3.94,historical
5.0,historical
3.39,historical
0.56,historical
4.18,historical
4.08,historical
5.0,historical
4.97,historical
5.0,historical
4.58,historical
4.65,historical
2.29,historical
4.76,historical
4.33,historical
4.57,historical
4.13,historical
2.81,historical
3.44,historical
2.59,historical
5.0,historical
2.17,historical
3.0,historical
0.9,historical
5.0,historical
2.96,historical
3.75,historical
1.9,historical
4.41,historical
3.61,historical
2.22,historical
5.0,historical
4.87,historical
3.43,historical
2.6,historical
0.4,historical
4.18,historical
4.03,historical
4.24,historical
3.7,historical
4.84,historical
5.0,historical
2.37,historical
4.88,historical
3.11,historical
3.12,historical
2.32,historical
2.4,historical
4.73,historical
5.0,historical
2.89,historical
2.6,historical
2.49,historical
3.0,historical
3.51,historical
2.53,historical
2.6,historical
5.0,historical
3.78,historical
5.0,historical
5.0,historical
2.86,historical
3.62,historical
1.18,historical
3.32,historical
2.89,historical
4.29,historical
5.0,historical
3.3,historical
2.52,historical
4.38,historical
3.75,historical
4.32,historical
1.57,historical
2.42,historical
3.34,historical
4.53,historical
2.95,historical
5.0,historical
4.86,historical
2.85,historical
5.0,historical
2.05,historical
3.58,historical
2.96,historical
0.82,historical
5.0,historical
3.05,historical
5.0,historical
3.77,historical
1.84,historical
3.21,historical
1.55,historical
1.97,historical
2.29,historical
3.62,historical
5.0,historical
1.82,historical
1.82,historical
3.4,historical
3.5,historical
3.41,historical
2.7,historical
4.12,historical
3.47,historical
2.22,historical
2.96,historical
3.05,historical
4.19,historical
2.34,historical
3.08,historical
1.36,historical
1.12,historical
1.49,historical
1.94,historical
0.92,historical
2.36,historical
3.68,historical
5.0,historical
1.29,historical
0.65,historical
3.04,historical
2.2,historical
1.91,historical
0.82,historical
5.0,historical
1.58,historical
3.98,historical
3.07,historical
1.89,historical
4.22,historical
2.59,historical
4.68,historical
1.23,historical
3.01,historical
2.81,historical
4.14,historical
4.21,historical
3.12,historical
3.15,historical
1.57,historical
5.0,historical
4.52,historical
4.35,historical
1.14,historical
2.29,historical
3.52,historical
1.76,historical
5.0,historical
3.03,historical
3.24,historical
5.0,historical
2.23,historical
3.81,historical
4.29,historical
3.22,historical
5.0,historical
4.65,historical
2.78,historical
3.57,historical
4.7,historical
3.41,historical
4.57,historical
3.07,historical
4.0,historical
2.79,historical
1.97,historical
1.86,historical
0.4,historical
4.48,historical
3.97,historical
0.53,historical
3.61,historical
3.26,historical
0.4,historical
4.68,historical
3.01,historical
5.0,historical
4.58,historical
3.98,historical
5.0,historical
3.53,historical
3.36,historical
1.55,historical
3.26,historical
4.23,historical
1.81,historical
2.28,historical
3.7,historical
2.69,historical
5.0,historical
1.12,historical
1.23,historical
4.13,historical
5.0,historical
3.69,historical
2.79,historical
4.57,historical
4.56,historical
0.0,historical
4.15,historical
5.0,historical
4.37,historical
3.21,historical
3.56,historical
4.24,historical
3.61,historical
5.0,historical
1.4,historical
0.53,historical
3.12,historical
4.17,historical
3.38,historical
4.76,historical
2.24,historical
1.19,historical
3.83,historical
2.24,historical
2.88,historical
4.57,historical
2.47,historical
4.32,historical
4.79,historical
4.55,historical
3.69,historical
5.0,historical
4.83,historical
3.61,historical
5.0,historical
4.18,historical
2.35,historical
4.3,historical
3.98,historical
3.69,historical
2.18,historical
3.61,historical
2.87,historical
0.21,historical
2.8,historical
0.67,historical
2.01,historical
3.73,historical
3.04,historical
2.72,historical
1.21,historical
4.59,historical
3.94,historical
5.0,historical
4.36,historical
3.13,historical
4.55,historical
5.0,historical
3.09,historical
1.92,historical
4.54,historical
2.64,historical
0.0,historical
2.5,historical
3.95,historical
4.83,historical
1.6,historical
4.11,historical
4.06,historical
3.68,historical
1.11,historical
1.82,historical
1.84,historical
5.0,historical
2.16,historical
1.54,historical
4.72,historical
3.13,historical
3.32,historical
5.0,historical
4.85,historical
4.82,historical
2.69,historical
3.25,historical
2.54,historical
1.34,historical
2.78,historical
2.95,historical
4.64,historical
1.99,historical
3.72,historical
3.27,historical
4.81,historical
2.73,historical
2.33,historical
5.0,historical
4.91,historical
2.65,historical
4.46,historical
1.94,historical
5.0,historical
2.5,historical
3.42,historical
4.0,historical
4.06,historical
2.78,historical
5.0,historical
2.43,historical
3.52,historical
0.0,historical
3.83,historical
0.41,historical
2.39,historical
1.64,historical
3.93,historical
3.87,historical
2.97,historical
4.21,historical
5.0,historical
3.82,historical
5.0,historical
4.91,historical
2.15,historical
3.65,historical
3.01,historical
4.11,historical
2.65,historical
2.46,historical
2.78,historical
4.56,historical
2.29,historical
1.72,historical
4.62,historical
1.68,historical
4.48,historical
0.0,historical
2.67,historical
4.92,historical
1.25,historical
5.0,historical
5.0,historical
3.5,historical
1.94,historical
2.12,historical
3.38,historical
3.23,historical
4.38,historical
3.28,historical
3.02,historical
0.98,historical
2.86,historical
5.0,historical
3.73,historical
4.88,historical
3.42,historical
2.95,historical
4.4,historical
1.46,historical
5.0,historical
5.0,historical
2.78,historical
1.29,historical
3.46,historical
1.72,historical
4.59,historical
4.06,historical
2.26,historical
5.0,historical
3.05,historical
3.41,historical
4.41,historical
3.69,historical
3.05,historical
5.0,historical
2.23,historical
3.37,historical
0.07,historical
4.8,historical
4.69,historical
2.8,historical
2.1,historical
4.8,historical
5.0,historical
1.59,historical
5.0,historical
5.0,historical
3.73,historical
2.61,historical
1.48,historical
2.33,historical
3.19,historical
3.08,historical
2.17,historical
1.42,historical
3.86,historical
2.51,historical
0.53,historical
5.0,historical
2.69,historical
3.63,historical
2.95,historical
3.04,historical
3.9,historical
4.58,historical
3.76,historical
4.69,historical
5.0,historical
2.2,historical
4.4,historical
4.94,historical
2.49,historical
4.38,historical
3.55,historical
3.67,historical
3.1,historical
3.56,historical
2.2,historical
1.11,historical
2.97,historical
2.13,historical
5.0,historical
2.62,historical
4.13,historical
3.47,historical
2.25,historical
2.81,historical
3.01,historical
5.0,historical
5.0,historical
2.76,historical
1.76,historical
1.86,historical
2.8,historical
1.01,historical
3.81,historical
3.94,historical
0.5,historical
5.0,historical
3.62,historical
1.08,historical
0.42,historical
2.29,historical
5.0,historical
2.93,historical
5.0,historical
4.35,historical
2.44,historical
5.0,historical
2.63,historical
3.27,historical
3.19,historical
5.0,historical
1.82,historical
3.68,historical
4.04,historical
2.1,historical
3.1,historical
3.74,historical
2.48,historical
3.49,historical
2.92,historical
3.32,historical
4.06,historical
0.0,historical
1.45,historical
3.36,historical
4.89,historical
3.97,historical
4.38,historical
4.18,historical
3.04,historical
5.0,historical
4.89,historical
5.0,historical
1.03,historical
5.0,historical
1.57,historical
3.93,historical
3.8,historical
3.66,historical
4.73,historical
1.08,historical
4.41,historical
2.7,historical
4.39,historical
4.47,historical
3.56,historical
5.0,historical
3.85,historical
3.1,historical
4.71,historical
2.11,historical
3.86,historical
4.05,historical
5.0,historical
3.83,historical
3.64,historical
2.25,historical
3.06,historical
1.43,historical
4.53,historical
4.79,historical
0.82,historical
4.15,historical
3.26,historical
5.0,historical
2.68,historical
2.88,historical
0.64,historical
3.03,historical
3.82,historical
2.92,historical
3.63,historical
5.0,historical
4.45,historical
3.41,historical
4.28,historical
4.45,historical
1.59,historical
4.39,historical
3.97,historical
3.1,historical
4.26,historical
5.0,historical
4.04,historical
3.26,historical
5.0,historical
5.0,historical
3.92,historical
3.83,historical
2.89,historical
2.69,historical
3.73,historical
3.2,historical
4.22,historical
3.15,historical
4.91,historical
3.85,historical
2.01,historical
4.26,historical
3.53,historical
0.5,historical
2.71,historical
2.53,historical
5.0,historical
3.31,historical
3.95,historical
0.67,historical
2.89,historical
5.0,historical
5.0,historical
3.1,historical
5.0,historical
4.37,historical
4.49,historical
3.2,historical
5.0,historical
3.62,historical
4.87,historical
3.67,historical
3.56,historical
3.47,historical
3.6,historical
1.99,historical
0.28,historical
0.33,historical
2.82,historical
2.3,historical
3.32,historical
2.46,historical
5.0,historical
4.08,historical
4.04,historical
3.48,historical
2.11,historical
5.0,historical
3.41,historical
1.36,historical
3.45,historical
4.61,historical
3.2,historical
5.0,historical
5.0,historical
3.04,historical
2.13,historical
5.0,historical
3.38,historical
4.78,historical
3.7,historical
4.99,historical
1.47,historical
3.96,historical
3.5,historical
3.61,historical
3.04,historical
5.0,historical
5.0,historical
2.93,historical
4.21,historical
3.53,historical
5.0,historical
4.25,historical
3.39,historical
2.96,historical
2.88,historical
4.58,historical
2.56,historical
2.33,historical
4.46,historical
4.19,historical
3.56,historical
3.83,historical
2.38,historical
5.0,historical
3.63,historical
3.18,historical
1.72,historical
0.85,historical
4.15,historical
3.84,historical
1.57,historical
1.61,historical
5.0,historical
2.38,historical
0.65,historical
3.19,historical
4.49,historical
3.06,historical
3.27,historical
0.78,historical
3.5,historical
3.93,historical
4.62,historical
2.12,historical
3.33,historical
5.0,historical
3.68,historical
5.0,historical
5.0,historical
3.98,historical
4.75,historical
3.01,historical
3.18,historical
2.91,historical
5.0,historical
2.65,historical
2.38,historical
0.45,historical
4.41,historical
2.34,historical
2.74,historical
4.17,historical
2.0,historical
2.79,historical
2.36,historical
5.0,historical
1.62,historical
4.82,historical
3.47,historical
4.96,historical
3.17,historical
5.0,historical
5.0,historical
3.71,historical
3.54,historical
5.0,historical
4.87,historical
2.85,historical
5.0,historical
5.0,historical
5.0,historical
3.13,historical
4.69,historical
2.15,historical
2.88,historical
3.24,historical
4.62,historical
5.0,historical
3.4,historical
2.28,historical
4.79,historical
3.63,historical
2.5,historical
4.0,historical
1.75,historical
3.01,historical
1.58,historical
3.89,historical
5.0,historical
4.26,historical
5.0,historical
1.36,historical
3.24,historical
1.81,historical
4.52,historical
2.52,historical
1.98,historical
3.73,historical
2.22,historical
4.54,historical
5.0,historical
4.49,historical
4.62,historical
5.0,historical
2.93,historical
3.1,historical
1.6,historical
4.17,historical
0.0,historical
1.39,historical
5.0,historical
3.59,historical
4.91,historical
2.27,historical
4.32,historical
4.37,historical
3.74,historical
3.6,historical
5.0,historical
2.88,historical
2.11,historical
3.61,historical
4.91,historical
3.42,historical
5.0,historical
3.19,historical
0.33,historical
3.56,historical
1.37,historical
5.0,historical
2.38,historical
4.21,historical
0.0,historical
4.44,historical
2.64,historical
2.9,historical
3.16,historical
4.07,historical
2.17,historical
3.52,historical
0.0,historical
4.46,historical
4.19,historical
2.39,historical
1.72,historical
2.29,historical
2.65,historical
3.64,historical
3.44,historical
3.61,historical
3.79,historical
4.36,historical
4.43,historical
4.37,historical
2.19,historical
2.45,historical
0.61,historical
2.56,historical
3.97,historical
4.01,historical
4.66,historical
5.0,historical
5.0,historical
3.58,historical
3.31,historical
5.0,historical
4.81,historical
0.37,historical
4.62,historical
3.91,historical
1.26,historical
5.0,historical
3.87,historical
2.89,historical
4.41,historical
4.25,historical
1.12,historical
0.62,historical
3.79,historical
2.04,historical
3.27,historical
3.23,historical
3.36,historical
3.41,historical
4.2,historical
2.57,historical
3.12,historical
3.78,historical
3.03,historical
0.86,historical
2.57,historical
2.05,historical
2.25,historical
4.55,historical
3.55,historical
1.58,historical
4.85,historical
2.28,historical
4.71,historical
3.74,historical
4.06,historical
3.59,historical
2.6,historical
3.06,historical
4.53,historical
5.0,historical
4.0,historical
3.36,historical
2.9,historical
1.97,historical
1.96,historical
4.33,historical
5.0,historical
3.22,historical
3.21,historical
2.48,historical
2.24,historical
5.0,historical
4.54,historical
2.93,historical
3.78,historical
3.89,historical
4.12,historical
4.39,historical
5.0,historical
4.35,historical
2.51,historical
5.0,historical
4.7,historical
3.21,historical
4.15,historical
2.39,historical
2.96,historical
1.01,historical
4.45,historical
5.0,historical
5.0,historical
4.93,historical
3.33,historical
2.99,historical
3.05,historical
5.0,historical
3.93,historical
3.63,historical
2.98,historical
5.0,historical
3.84,historical
1.35,historical
2.67,historical
4.08,historical
3.38,historical
5.0,historical
0.0,historical
4.55,historical
1.09,historical
3.94,historical
3.21,historical
4.4,historical
4.36,historical
3.54,historical
5.0,historical
4.07,historical
2.73,historical
4.38,historical
4.98,historical
2.41,historical
2.04,historical
1.28,historical
3.4,historical
4.84,historical
2.68,historical
3.63,historical
5.0,historical
4.2,historical
4.74,historical
3.02,historical
3.29,historical
3.08,historical
3.61,historical
3.46,historical
4.91,historical
3.58,historical
4.04,historical
3.57,historical
5.0,historical
4.74,historical
3.89,historical
4.81,historical
3.4,historical
4.18,historical
4.67,historical
1.9,historical
3.51,historical
4.59,historical
5.0,historical
2.77,historical
4.59,historical
4.11,historical
2.91,historical
4.95,historical
4.44,historical
3.73,historical
0.81,historical
4.16,historical
4.62,historical
4.61,historical
3.55,historical
5.0,historical
5.0,historical
2.72,historical
4.44,historical
3.18,historical
1.58,historical
2.85,historical
3.23,historical
5.0,historical
1.1,historical
4.53,historical
3.14,historical
4.01,historical
5.0,historical
4.27,historical
2.38,historical
3.71,historical
3.32,historical
0.74,historical
2.79,historical
4.08,historical
4.51,historical
5.0,historical
3.27,historical
2.54,historical
2.59,historical
0.33,historical
5.0,historical
0.93,historical
4.84,historical
2.21,historical
0.82,historical
3.54,historical
3.83,historical
4.75,historical
2.17,historical
4.63,historical
3.28,historical
2.28,historical
2.92,historical
1.69,historical
5.0,historical
5.0,historical
4.48,historical
3.46,historical
2.62,historical
2.9,historical
5.0,historical
2.87,historical
1.17,historical
2.14,historical
5.0,historical
1.9,historical
5.0,historical
3.18,historical
5.0,historical
3.86,historical
4.07,historical
4.44,historical
4.52,historical
5.0,historical
5.0,historical
1.48,historical
3.98,historical
3.26,historical
3.44,historical
0.0,historical
3.77,historical
0.17,historical
3.69,historical
2.09,historical
4.77,historical
5.0,historical
3.68,historical
4.46,historical
5.0,historical
4.55,historical
3.35,historical
3.03,historical
4.01,historical
0.28,historical
2.75,historical
5.0,historical
5.0,historical
4.04,historical
4.84,historical
3.92,historical
2.14,historical
4.26,historical
4.7,historical
1.23,historical
3.8,historical
5.0,historical
4.93,historical
5.0,historical
2.06,historical
3.36,historical
4.52,historical
4.4,historical
5.0,historical
0.21,historical
1.56,historical
1.82,historical
1.68,historical
4.91,historical
4.13,historical
4.65,historical
5.0,historical
3.17,historical
4.82,historical
0.0,historical
5.0,historical
1.06,historical
5.0,historical
1.08,historical
3.84,historical
3.07,historical
2.41,historical
4.58,historical
3.5,historical
4.17,historical
0.62,historical
4.76,historical
3.12,historical
4.53,historical
5.0,historical
5.0,historical
3.53,historical
5.0,historical
3.5,historical
2.89,historical
5.0,historical
4.68,historical
2.77,historical
3.78,historical
4.38,historical
3.66,historical
2.5,historical
5.0,historical
2.17,historical
3.67,historical
2.98,historical
4.4,historical
1.79,historical
1.48,historical
2.3,historical
2.43,historical
4.82,historical
2.32,historical
5.0,historical
1.86,historical
3.81,historical
1.41,historical
1.96,historical
4.02,historical
2.9,historical
4.52,historical
5.0,historical
3.05,historical
3.22,historical
4.4,historical
5.0,historical
5.0,historical
3.09,historical
4.89,historical
4.01,historical
1.8,historical
5.0,historical
2.05,historical
1.21,historical
3.19,historical
2.38,historical
0.68,historical
3.24,historical
3.15,historical
4.02,historical
5.0,historical
1.9,historical
3.48,historical
5.0,historical
3.4,historical
2.77,historical
1.75,historical
3.29,historical
5.0,historical
2.87,historical
1.69,historical
2.73,historical
4.23,historical
1.67,historical
1.5,historical
3.42,historical
4.01,historical
3.71,historical
2.47,historical
4.36,historical
2.22,historical
3.74,historical
5.0,historical
4.3,historical
3.02,historical
4.41,historical
5.0,historical
2.12,historical
2.53,historical
3.7,historical
0.36,historical
2.44,historical
3.2,historical
2.9,historical
3.99,historical
2.53,historical
4.66,historical
3.53,historical
2.89,historical
3.36,historical
3.86,historical
2.03,historical
3.64,historical
2.91,historical
0.0,historical
2.32,historical
3.7,historical
1.31,historical
4.93,historical
0.69,historical
2.84,historical
4.14,historical
2.69,historical
4.09,historical
3.44,historical
3.1,historical
4.35,historical
3.58,historical
3.05,historical
0.39,historical
3.72,historical
3.92,historical
3.42,historical
4.51,historical
3.71,historical
4.07,historical
2.19,historical
1.54,historical
3.33,historical
5.0,historical
1.81,historical
2.07,historical
2.7,historical
1.89,historical
4.48,historical
3.74,historical
4.0,historical
2.76,historical
3.25,historical
0.06,historical
3.84,historical
2.43,historical
2.98,historical
5.0,historical
3.04,historical
5.0,historical
4.4,historical
4.15,historical
3.71,historical
2.29,historical
2.48,historical
1.81,historical
3.19,historical
1.23,historical
2.47,historical
3.91,historical
3.97,historical
3.61,historical
4.19,historical
5.0,historical
1.33,historical
2.2,historical
3.43,historical
4.73,historical
4.85,historical
4.25,historical
4.86,historical
2.82,historical
5.0,historical
3.62,historical
3.01,historical
5.0,historical
4.91,historical
3.49,historical
4.3,historical
3.24,historical
2.58,historical
0.94,historical
3.45,historical
3.75,historical
3.86,historical
3.85,historical
2.9,historical
4.46,historical
1.5,historical
3.67,historical
2.05,historical
2.91,historical
5.0,historical
2.48,historical
3.82,historical
4.91,historical
1.64,historical
5.0,historical
0.8,historical
2.8,historical
5.0,historical
3.3,historical
3.62,historical
4.16,historical
3.25,historical
5.0,historical
4.93,historical
4.48,historical
3.66,historical
3.73,historical
4.32,historical
4.17,historical
2.51,historical
1.87,historical
3.92,historical
3.13,historical
2.22,historical
4.79,historical
4.02,historical
4.46,historical
4.16,historical
2.79,historical
4.49,historical
5.0,historical
4.61,historical
3.95,historical
3.02,historical
2.55,historical
0.0,historical
1.23,historical
4.68,historical
2.64,historical
4.7,historical
2.16,historical
5.0,historical
5.0,historical
1.38,historical
2.36,historical
2.94,historical
3.6,historical
1.12,historical
2.65,historical
3.55,historical
3.79,historical
2.97,historical
3.16,historical
1.79,historical
2.65,historical
3.84,historical
4.89,historical
1.82,historical
4.41,historical
5.0,historical
3.12,historical
2.5,historical
2.85,historical
1.93,historical
3.1,historical
5.0,historical
5.0,historical
2.8,historical
5.0,historical
5.0,historical
3.61,historical
3.11,historical
4.73,historical
1.11,historical
1.66,historical
2.99,historical
3.04,historical
5.0,historical
2.35,historical
5.0,historical
4.98,historical
2.94,historical
3.44,historical
5.0,historical
4.82,historical
2.47,historical
4.9,historical
0.61,historical
3.31,historical
1.52,historical
1.87,historical
3.03,historical
1.46,historical
3.3,historical
5.0,historical
5.0,historical
3.31,historical
2.61,historical
2.31,historical
3.45,historical
2.81,historical
3.74,historical
4.64,historical
3.89,historical
4.81,historical
3.93,historical
3.34,historical
3.0,historical
4.47,historical
1.14,historical
3.45,historical
5.0,historical
5.0,historical
5.0,historical
5.0,historical
4.19,historical
2.76,historical
3.3,historical
1.95,historical
5.0,historical
1.96,historical
4.71,historical
1.21,historical
4.51,historical
2.2,historical
3.02,historical
2.7,historical
4.03,historical
5.0,historical
2.73,historical
2.22,historical
2.24,historical
2.25,historical
2.39,historical
4.32,historical
5.0,historical
4.2,historical
3.09,historical
1.3,historical
2.91,historical
4.76,historical
1.65,historical
1.8,historical
2.71,historical
5.0,historical
3.25,historical
3.23,historical
4.26,historical
4.15,historical
4.57,historical
2.74,historical
0.71,historical
1.16,historical
2.99,historical
5.0,historical
3.52,historical
2.9,historical
4.1,historical
5.0,historical
2.53,historical
4.29,historical
1.64,historical
5.0,historical
3.48,historical
3.76,historical
2.55,historical
3.27,historical
4.68,historical
1.69,historical
3.1,historical
4.22,historical
4.14,historical
3.53,historical
4.21,historical
4.13,historical
4.14,historical
2.87,historical
0.56,historical
4.03,historical
5.0,historical
2.33,historical
0.87,historical
4.33,historical
3.38,historical
2.11,historical
2.52,historical
2.5,historical
3.71,historical
1.63,historical
2.67,historical
4.1,historical
5.0,historical
5.0,historical
1.21,historical
4.32,historical
3.31,historical
0.86,historical
3.52,historical
4.65,historical
1.39,historical
3.78,historical
2.56,historical
2.76,historical
4.04,historical
2.22,historical
1.26,historical
5.0,historical
3.99,historical
4.74,historical
0.64,historical
2.8,historical
4.07,historical
3.79,historical
4.54,historical
5.0,historical
5.0,historical
3.94,historical
2.13,historical
4.85,historical
5.0,historical
4.84,historical
2.42,historical
5.0,historical
5.0,historical
2.85,historical
5.0,historical
5.0,historical
3.73,historical
4.4,historical
4.36,historical
2.25,historical
1.27,historical
5.0,historical
0.65,historical
4.34,historical
2.98,historical
2.71,historical
4.1,historical
1.84,historical
4.56,historical
1.91,historical
4.37,historical
3.28,historical
4.74,historical
3.47,historical
2.5,historical
1.82,historical
1.6,historical
1.61,historical
2.99,historical
5.0,historical
3.38,historical
2.86,historical
3.69,historical
3.71,historical
5.0,historical
3.85,historical
2.48,historical
5.0,historical
2.61,historical
3.99,historical
2.74,historical
3.08,historical
2.22,historical
4.71,historical
2.7,historical
1.05,historical
3.46,historical
2.62,historical
3.41,historical
5.0,historical
1.04,historical
0.51,historical
4.7,historical
5.0,historical
3.79,historical
2.95,historical
2.66,historical
3.82,historical
4.3,historical
5.0,historical
3.47,historical
0.05,historical
2.62,historical
2.58,historical
1.64,historical
2.36,historical
2.26,historical
2.1,historical
3.88,historical
3.35,historical
1.86,historical
4.01,historical
1.63,historical
4.83,historical
3.11,historical
2.14,historical
3.14,historical
3.96,historical
1.19,historical
2.17,historical
4.48,historical
4.69,historical
3.31,historical
3.28,historical
5.0,historical
4.33,historical
2.46,historical
1.36,historical
0.86,historical
3.98,historical
3.09,historical
3.36,historical
4.31,historical
1.75,historical
3.54,historical
4.63,historical
1.9,historical
1.11,historical
2.12,historical
3.87,historical
5.0,historical
3.65,historical
4.03,historical
4.62,historical
1.57,historical
1.87,historical
5.0,historical
3.18,historical
1.54,historical
0.77,historical
4.26,historical
1.23,historical
1.43,historical
3.1,historical
5.0,historical
4.0,historical
3.36,historical
3.57,historical
2.19,historical
5.0,historical
5.0,historical
3.39,historical
0.79,historical
4.04,historical
2.34,historical
5.0,historical
3.97,historical
4.49,historical
0.24,historical
3.59,historical
5.0,historical
3.9,historical
2.58,historical
5.0,historical
5.0,historical
2.91,historical
3.5,historical
3.56,historical
4.55,historical
2.61,historical
2.35,historical
5.0,historical
3.7,historical
3.5,historical
1.51,historical
4.54,historical
3.8,historical
4.11,historical
2.19,historical
3.41,historical
4.51,historical
2.25,historical
4.58,historical
3.03,historical
4.48,historical
2.41,historical
3.43,historical
3.08,historical
2.35,historical
2.73,historical
5.0,historical
2.84,historical
3.03,historical
1.83,historical
0.73,historical
4.96,historical
0.45,historical
4.19,historical
5.0,historical
3.93,historical
5.0,historical
2.25,historical
5.0,historical
4.66,historical
2.89,historical
0.64,historical
4.77,historical
0.88,historical
4.45,historical
2.34,historical
4.22,historical
2.56,historical
4.48,historical
2.64,historical
3.92,historical
2.1,historical
2.37,historical
3.06,historical
3.75,historical
